INDEPENDENT CUSTOMER;;INDEP CUST;INDEPENDENT CUSTOMER;
INDITEX;;INDITEX;INDITEX;
INDRA;;INDRA;INDRA;
INGREDIA;;INGREDIA;INGREDIA;
INSURANCES AND RETIR;;INSUR & R;INSURANCES AND RETIR;
INTERGROS;;INTERGROS;INTERGROS;
INTERMARCHE;;INTERMARCH;INTERMARCHE;
INVIVO;;INVIVO;INVIVO;
ISES - INTERCOOP SUD;;INTERCOOP;ISES - INTERCOOP SUD;
IVECO;;IVECO;IVECO;
JANE;;JANE;JANE;
JC DECAUX;;JC DECAUX;JC DECAUX;
JET SERV LOGISTICS;;JET LOGIST;JET SERV LOGISTICS;
KANTAR;;KANTAR;KANTAR;
KIDILIZ;;KIDILIZ;KIDILIZ;
KILOUTOU;;KILOUTOU;KILOUTOU;
KP1;;KP1;KP1;
KRAFT FRANCE;;KRAFT FRCE;KRAFT FRANCE;
L'OREAL;;L'OREAL;L'OREAL;
LA FRANCAISE DES JEU;;FDJ;LA FRANCAISE DES JEU;
LA POSTE;;LA POSTE;LA POSTE;
LA REDOUTE;;LA REDOUTE;LA REDOUTE;
LABEYRIE;;LABEYRIE;LABEYRIE;
LACTALIS;;LACTALIS;LACTALIS;
LAFARGE;;LAFARGE;LAFARGE;
LAMY;;LAMY;LAMY;
LANTERO;;LANTERO;LANTERO;
LAPEYRE;;LAPEYRE;LAPEYRE;
LEGRAND;;LEGRAND;LEGRAND;
LEVANTINA;;LEVANTINA;LEVANTINA;
LFB;;LFB;LFB;
LIDL;;LIDL;LIDL;
LILLY France;;LILLY Frce;LILLY France;
LNUF MARQUES;;LNUF MARQ;LNUF MARQUES;
LOGICA IMMOBILIER;;LOGICA IMM;LOGICA IMMOBILIER;
LVMH;;LVMH;LVMH;
MA;;MA;MA;
MACIF;;MACIF;MACIF;
MAIF ASSURANCE;;MAIF ASSUR;MAIF ASSURANCE;
MAIRIE;;MAIRIE;MAIRIE;
MAIRIE DE PARIS;;MAIR PARIS;MAIRIE DE PARIS;
MANITOU BF;;MANITOU BF;MANITOU BF;
MANN HUMMEL EUROPE;;MAN HUMMEL;MANN HUMMEL EUROPE;
MANPOWER FRANCE;;MANPOWER ;MANPOWER FRANCE;
MAPFRE;;MAPFRE;MAPFRE;
MC DONALD;;MC DONALD;MC DONALD;
MCB INDUSTRIE;;MCB INDUST;MCB INDUSTRIE;
MEDA;;MEDA;MEDA;
MEDASYS;;MEDASYS;MEDASYS;
MEDERIC;;MEDERIC;MEDERIC;
MERCURE;;MERCURE;MERCURE;
MERIEUX;;MERIEUX;MERIEUX;
METRO CASH & CARRY F;;METRO C&C;METRO CASH & CARRY F;
METROPOLE;;METROPOLE;METROPOLE;
MICHELIN;;MICHELIN;MICHELIN;
MICROSOFT;;MICROSOFT;MICROSOFT;
MIEUX SE LOGER;;SE LOGER;MIEUX SE LOGER;
MILLENNIUM;;MILLENNIUM;MILLENNIUM;
MINIST 1ER MINISTRE;;1ER MINIST;MINIST 1ER MINISTRE;
MINIST AFF ETRANGERE;;MIN AF ETR;MINIST AFF ETRANGERE;
MINIST DE L'AGRICULT;;MIN AGRIC;MINIST DE L'AGRICULT;
MINIST DE L'ECOLOGIE;;MIN ECOLOG;MINIST DE L'ECOLOGIE;
MINIST DE L'EDUCATIO;;MIN EDUCAT;MINIST DE L'EDUCATIO;
MINIST DE LA CULTURE;;MIN  CULT;MINIST DE LA CULTURE;
MINIST DE LA DEFENSE;;MIN  DEFEN;MINIST DE LA DEFENSE;
MINIST DE LA JUSTICE;;MIN  JUST;MINIST DE LA JUSTICE;
MINIST DE LA REFORM;;MIN  REFOR;MINIST DE LA REFORM;
MINIST DE LA SANTE;;MIN  SANTE;MINIST DE LA SANTE;
MINIST DES FINANCES;;MIN FINANC;MINIST DES FINANCES;
MINIST DU TRAVAIL;;MIN TRAV;MINIST DU TRAVAIL;
MINIST INTERIEUR;;MIN INTER;MINIST INTERIEUR;
MINIST SOCIAUX;;MIN SOCIAU;MINIST SOCIAUX;
MITSUBISHI FRANCE;;MITSUBISHI;MITSUBISHI FRANCE;
MMH;;MMH;MMH;
MOVIBIA;;MOVIBIA;MOVIBIA;
MSA;;MSA;MSA;
MSS;;MSS;MSS;
MULLIEZ;;MULLIEZ;MULLIEZ;
MUNICIPAL GOVERNEMEN;;GVT LOCAL;MUNICIPAL GOVERNEMEN;
MUNICIPALITIY;;MUNICIPALI;MUNICIPALITIY;
MUSEES;;MUSEES;MUSEES;
NEMERA;;NEMERA;NEMERA;
NESTLE;;NESTLE;NESTLE;
NIDEC;;NIDEC;NIDEC;
NOKIA;;NOKIA;NOKIA;
NORAUTO;;NORAUTO;NORAUTO;
NOVABASE;;NOVABASE;NOVABASE;
NOVARTIS;;NOVARTIS;NOVARTIS;
NUMERICABLE;;NUMERICABL;NUMERICABLE;
NUMERICABLE SFR;;GP SFR;NUMERICABLE SFR;
OBERTHUR TECHNOLOGIE;;OBERTHUR ;OBERTHUR TECHNOLOGIE;
OFFICE DU TOURISME;;OFF TOURIS;OFFICE DU TOURISME;
OGF;;OGF;OGF;
OPAC;;OPAC;OPAC;
OPCA;;OPCA;OPCA;
ORACLE;;ORACLE;ORACLE;
ORANGE;;ORANGE;ORANGE;
ORDRE DES EXPERTS CO;;EXP COMPTB;ORDRE DES EXPERTS CO;
ORG ASSU ET RETRAITE;;ASSU & RET;ORG ASSU ET RETRAITE;
OTHER CENTRAL ADMINI;;OT CTR ADM;OTHER CENTRAL ADMINI;
OTHER MULLIEZ;;MULLIEZ;OTHER MULLIEZ;
OTIS;;OTIS;OTIS;
OUEST FRANCE;;OUEST FRCE;OUEST FRANCE;
PAGES JAUNES;;SOLOCAL;PAGES JAUNES;
PANZANI;;PANZANI;PANZANI;
PARCS NATIONNAUX;;PARCS NAT;PARCS NATIONNAUX;
PBM CONSEIL;;PBM CONSE;PBM CONSEIL;
PECHINEY;;PECHINEY;PECHINEY;
PERNOD RICARD;;PERNOD RIC;PERNOD RICARD;
PETROPLUS;;PETROPLUS;PETROPLUS;
PFIZER;;PFIZER;PFIZER;
PHILIPS FRANCE;;PHILIPS FR;PHILIPS FRANCE;
PIERRE FABRE S.A;;P. FABRE;PIERRE FABRE S.A;
PLANYTEC;;PLANYTEC;PLANYTEC;
PMU;;PMU;PMU;
POINT P DEVELOPPEMEN;;POINT P ;POINT P DEVELOPPEMEN;
POLE EMPLOI;;POLE EMPL;POLE EMPLOI;
PORT AUTHORITY;;PORT AUTH;PORT AUTHORITY;
PORTUGAL TELECOM;;PORTUG TEL;PORTUGAL TELECOM;
PPG IND EUROPE SARLE;;PPG IND EU;PPG IND EUROPE SARLE;
PRAXAIR;;PRAXAIR;PRAXAIR;
PRIM;;PRIM;PRIM;
PRINTEMPS;;PRINTEMPS;PRINTEMPS;
PSA;;PSA;PSA;
PUBLIC ASSISTANCE;;PUBLIC ASS;PUBLIC ASSISTANCE;
QUIRON;;QUIRON;QUIRON;
RADIO FRANCE;;RADIO FRCE;RADIO FRANCE;
RATP;;RATP;RATP;
RAYNAL;;RAYNAL;RAYNAL;
RECIPHARM;;RECIPHARM;RECIPHARM;
REGIE;;REGIE;REGIE;
REGIONAL ADMINISTRAT;;REG ADMIN;REGIONAL ADMINISTRAT;
RENAULT AUTOMOBILES;;RENAULT ;RENAULT AUTOMOBILES;
RICHES MONTS;;RICHES MTS;RICHES MONTS;
ROCHE;;ROCHE;ROCHE;
ROLL GOM EUROP;;ROLL GOM ;ROLL GOM EUROP;
ROUSSELOT;;ROUSSELOT;ROUSSELOT;
ROYAL CANIN;;ROYAL CAN;ROYAL CANIN;
RSI;;RSI;RSI;
SACEM;;SACEM;SACEM;
SAFEGE;;SAFEGE;SAFEGE;
SAFRAN;;SAFRAN;SAFRAN;
SAFT- RSI - CLORIDE;;SAFT RSI ;SAFT- RSI - CLORIDE;
SAGE;;SAGE;SAGE;
SAINT GOBAIN;;ST GOBAIN;SAINT GOBAIN;
SALOMON;;SALOMON;SALOMON;
SANITAS;;SANITAS;SANITAS;
SANOFI;;SANOFI;SANOFI;
SAP FRANCE;;SAP FRANCE;SAP FRANCE;
SCHERING FRANCE;;SCHERING ;SCHERING FRANCE;
SCHLUMBERGER;;SCHLUMBERG;SCHLUMBERGER;
SCHNEIDER;;SCHNEIDER;SCHNEIDER;
SCOR;;SCOR;SCOR;
SCP COURTOIS LEBEL;;COURTOIS  ;SCP COURTOIS LEBEL;
SDIS;;SDIS;SDIS;
SEB;;SEB;SEB;
SEMTAG;;SEMTAG;SEMTAG;
SENAT;;SENAT;SENAT;
SEPHORA;;SEPHORA;SEPHORA;
SERVIER;;SERVIER;SERVIER;
SESAME VITALE;;SESAME VIT;SESAME VITALE;
SHELL;;SHELL;SHELL;
SIBELCO;;SIBELCO;SIBELCO;
SIEMENS;;SIEMENS;SIEMENS;
SIFCA;;SIFCA;SIFCA;
SILLIKER;;SILLIKER;SILLIKER;
SISTEMAS TECNICOS DE;;SISTEMAS T;SISTEMAS TECNICOS DE;
SMABTP;;SMABTP;SMABTP;
SNCF;;SNCF;SNCF;
SOCIETE GENERALE;;SG;SOCIETE GENERALE;
SOCRAM;;SOCRAM;SOCRAM;
SOFITEC;;SOFITEC;SOFITEC;
SOLVAY;;SOLVAY;SOLVAY;
SOMFY;;SOMFY;SOMFY;
SONAE;;SONAE;SONAE;
SONEPAR;;SONEPAR;SONEPAR;
SOPRA;;SOPRA;SOPRA;
SPIE BATIGNOLES;;SPIE BATIG;SPIE BATIGNOLES;
ST MICRO;;ST MICRO;ST MICRO;
STERIA;;STERIA;STERIA;
STIME;;STIME;STIME;
STRUCTURES PUBLIQUES;;STRUCT PUB;STRUCTURES PUBLIQUES;
STX LOGISTICS;;STX LOGIST;STX LOGISTICS;
SWISSLIFE;;SWISSLIFE;SWISSLIFE;
SYLIS;;SYLIS;SYLIS;
SYNDICAT;;SYNDICAT;SYNDICAT;
SYSTEME U;;SYSTEME U;SYSTEME U;
T-SYSTEM;;T-SYSTEM;T-SYSTEM;
TDF;;TDF;TDF;
TECNICAS REUNIDAS;;TECNICAS R;TECNICAS REUNIDAS;
TECSIDEL;;TECSIDEL;TECSIDEL;
TELEFONICA;;TELEFONICA;TELEFONICA;
TERRENA;;TERRENA;TERRENA;
TF1;;TF1;TF1;
THALES;;THALES;THALES;
THEATRE;;THEATRE;THEATRE;
THYSSENEUROP;;THYSSENEUR;THYSSENEUROP;
TIGF;;TIGF;TIGF;
TILLY;;TILLY;TILLY;
TNT INTERNATI;;TNT INTERN;TNT INTERNATI;
TOTAL;;TOTAL;TOTAL;
TOUS;;TOUS;TOUS;
TRIADE;;TRIADE;TRIADE;
TRIGANO;;TRIGANO;TRIGANO;
TRW;;TRW;TRW;
TSA;;TSA;TSA;
UGAP;;UGAP;UGAP;
UNICRE;;UNICRE;UNICRE;
URBASER;;URBASER;URBASER;
URIAGE;;URIAGE;URIAGE;
URSSAF;;URSSAF;URSSAF;
UTC - United Technologies Corporation;;UTC ;UTC - United Technologies Corporation;
Undefined;;Undefined;Undefined;
VALEO;;VALEO;VALEO;
VALLOUREC;;VALLOUREC;VALLOUREC;
VAUBAN;;VAUBAN;VAUBAN;
VEOLIA ENVIRONNEMENT;;VEOLIA ENV;VEOLIA ENVIRONNEMENT;
VIDRALA;;VIDRALA;VIDRALA;
VILOGIA;;VILOGIA;VILOGIA;
VINCI;;VINCI;VINCI;
VIVEO;;VIVEO;VIVEO;
VODAFONE;;VODAFONE;VODAFONE;
VOLKSWAGEN;;VOLKSWAGEN;VOLKSWAGEN;
WATER MANAGEMENT;;WATER MNGT;WATER MANAGEMENT;
WATTS EUROP;;WATTS EUR;WATTS EUROP;
YVES ROCHER;;Y ROCHER;YVES ROCHER;
ZTE;;ZTE;ZTE;
