"FLEX_VALUE";"DESCRIPTION";"FLEX_VALUE||'00'";"DESCRIPTION_1";
"900422";"COUTS D'ACHAT POUR REVENTE MATERIEL / DIVERS (OA)";"90042200";"COUTS D'ACHAT POUR REVENTE MATERIEL / DIVERS (OA)";
"900440";"COUTS LOCATIONS MAINTENANCE AMORTISSEMENTS INFORMATIQUES (OA)";"90044000";"COUTS LOCATIONS MAINTENANCE AMORTISSEMENTS INFORMATIQUES (OA)";
"900441";"COÛT LOCATION/MAINTENANCE INFORMATIQUE";"90044100";"COÛT LOCATION/MAINTENANCE INFORMATIQUE";
"900561";"RECRUTEMENT";"90056100";"RECRUTEMENT";
"900682";"COUTS D'ACHATS INTERNES TEL, LOYERS, DSI (OA)";"90068200";"COUTS D'ACHATS INTERNES TEL, LOYERS, DSI (OA)";
"900712";"HONORAIRES FINANCIERS JURIDIQUES ET DIVERS (OA)";"90071200";"HONORAIRES FINANCIERS JURIDIQUES ET DIVERS (OA)";
"900713";"LEGAL FEES-AVOCATS";"90071300";"LEGAL FEES-AVOCATS";
"900714";"AUDITOR FEES";"90071400";"AUDITOR FEES";
"900731";"FOURNITURES ET AFFRANCHISSEMENTS (OA)";"90073100";"FOURNITURES ET AFFRANCHISSEMENTS (OA)";
"900737";"ASSURANCES (OA)";"90073700";"ASSURANCES (OA)";
"900740";"DOCS, PRESSE, RECRUTEMENTS (OA)";"90074000";"DOCS, PRESSE, RECRUTEMENTS (OA)";
"900745";"ALLOCATIONS INTERNES (OA)";"90074500";"ALLOCATIONS INTERNES (OA)";
"900750";"TAXE ORGANIQUE (OA)";"90075000";"TAXE ORGANIQUE (OA)";
"900765";"AUTRES TAXES ET DEPENSES COURANTES (OA)";"90076500";"AUTRES TAXES ET DEPENSES COURANTES (OA)";
"900766";"RESULTAT EXCEPTIONNEL (OA)";"90076600";"RESULTAT EXCEPTIONNEL (OA)";
"900767";"PROVISIONS CLIENTS DOUTEUX (OA)";"90076700";"PROVISIONS CLIENTS DOUTEUX (OA)";
"900768";"LITIGES SALARIES";"90076800";"LITIGES SALARIES";
"900769";"PAT";"90076900";"PAT";
"900771";"CVAE-CFE";"90077100";"CVAE-CFE";
"900772";"RESULTAT FINANCIER (OA)";"90077200";"RESULTAT FINANCIER (OA)";
"900773";"PARTICIPATION";"90077300";"PARTICIPATION";
"900775";"INDIRECT COSTS";"90077500";"INDIRECT COSTS";
